image_name,step,loss,epsilon,alpha,seed,random_start,target
mdb146,1,2.409897,0.03137254901960784,0.00784313725490196,42,True,
mdb146,2,2.509637,0.03137254901960784,0.00784313725490196,42,True,
mdb146,3,2.588202,0.03137254901960784,0.00784313725490196,42,True,
mdb146,4,2.610368,0.03137254901960784,0.00784313725490196,42,True,
mdb146,5,2.691173,0.03137254901960784,0.00784313725490196,42,True,
mdb146,6,2.700188,0.03137254901960784,0.00784313725490196,42,True,
mdb146,7,2.714480,0.03137254901960784,0.00784313725490196,42,True,
mdb146,8,2.756080,0.03137254901960784,0.00784313725490196,42,True,
mdb146,9,2.796679,0.03137254901960784,0.00784313725490196,42,True,
mdb146,10,2.735364,0.03137254901960784,0.00784313725490196,42,True,
mdb146,11,3.509057,0.03137254901960784,0.00784313725490196,42,True,
mdb146,12,3.901163,0.03137254901960784,0.00784313725490196,42,True,
mdb146,13,3.839797,0.03137254901960784,0.00784313725490196,42,True,
mdb146,14,3.913892,0.03137254901960784,0.00784313725490196,42,True,
mdb146,15,3.890013,0.03137254901960784,0.00784313725490196,42,True,
mdb146,16,3.923545,0.03137254901960784,0.00784313725490196,42,True,
mdb146,17,3.983496,0.03137254901960784,0.00784313725490196,42,True,
mdb146,18,3.996638,0.03137254901960784,0.00784313725490196,42,True,
mdb146,19,4.057190,0.03137254901960784,0.00784313725490196,42,True,
mdb146,20,4.107676,0.03137254901960784,0.00784313725490196,42,True,
mdb146,21,4.177797,0.03137254901960784,0.00784313725490196,42,True,
mdb146,22,3.566605,0.03137254901960784,0.00784313725490196,42,True,
mdb146,23,3.778324,0.03137254901960784,0.00784313725490196,42,True,
mdb146,24,3.583836,0.03137254901960784,0.00784313725490196,42,True,
mdb146,25,3.742330,0.03137254901960784,0.00784313725490196,42,True,
mdb146,26,3.951611,0.03137254901960784,0.00784313725490196,42,True,
mdb146,27,3.929368,0.03137254901960784,0.00784313725490196,42,True,
mdb146,28,3.912929,0.03137254901960784,0.00784313725490196,42,True,
mdb146,29,2.697480,0.03137254901960784,0.00784313725490196,42,True,
mdb146,30,2.894865,0.03137254901960784,0.00784313725490196,42,True,
person19_virus_50,1,2.193909,0.03137254901960784,0.00784313725490196,42,True,
person19_virus_50,2,2.354352,0.03137254901960784,0.00784313725490196,42,True,
person19_virus_50,3,2.342787,0.03137254901960784,0.00784313725490196,42,True,
person19_virus_50,4,2.579423,0.03137254901960784,0.00784313725490196,42,True,
person19_virus_50,5,3.293259,0.03137254901960784,0.00784313725490196,42,True,
person19_virus_50,6,2.519309,0.03137254901960784,0.00784313725490196,42,True,
person19_virus_50,7,2.821363,0.03137254901960784,0.00784313725490196,42,True,
person19_virus_50,8,3.505928,0.03137254901960784,0.00784313725490196,42,True,
person19_virus_50,9,2.893171,0.03137254901960784,0.00784313725490196,42,True,
person19_virus_50,10,3.612075,0.03137254901960784,0.00784313725490196,42,True,
person19_virus_50,11,3.617709,0.03137254901960784,0.00784313725490196,42,True,
person19_virus_50,12,3.652962,0.03137254901960784,0.00784313725490196,42,True,
person19_virus_50,13,3.641844,0.03137254901960784,0.00784313725490196,42,True,
person19_virus_50,14,3.655837,0.03137254901960784,0.00784313725490196,42,True,
person19_virus_50,15,3.779925,0.03137254901960784,0.00784313725490196,42,True,
person19_virus_50,16,3.642181,0.03137254901960784,0.00784313725490196,42,True,
person19_virus_50,17,3.696564,0.03137254901960784,0.00784313725490196,42,True,
person19_virus_50,18,3.948340,0.03137254901960784,0.00784313725490196,42,True,
person19_virus_50,19,3.322021,0.03137254901960784,0.00784313725490196,42,True,
person19_virus_50,20,3.585555,0.03137254901960784,0.00784313725490196,42,True,
person19_virus_50,21,3.868893,0.03137254901960784,0.00784313725490196,42,True,
person19_virus_50,22,3.934538,0.03137254901960784,0.00784313725490196,42,True,
person19_virus_50,23,3.950726,0.03137254901960784,0.00784313725490196,42,True,
person19_virus_50,24,3.939326,0.03137254901960784,0.00784313725490196,42,True,
person19_virus_50,25,3.737469,0.03137254901960784,0.00784313725490196,42,True,
person19_virus_50,26,3.853402,0.03137254901960784,0.00784313725490196,42,True,
person19_virus_50,27,3.951743,0.03137254901960784,0.00784313725490196,42,True,
person19_virus_50,28,4.016173,0.03137254901960784,0.00784313725490196,42,True,
person19_virus_50,29,3.746629,0.03137254901960784,0.00784313725490196,42,True,
person19_virus_50,30,4.033629,0.03137254901960784,0.00784313725490196,42,True,
abd-normal023599,1,2.274887,0.03137254901960784,0.00784313725490196,42,True,
abd-normal023599,2,2.293646,0.03137254901960784,0.00784313725490196,42,True,
abd-normal023599,3,2.429036,0.03137254901960784,0.00784313725490196,42,True,
abd-normal023599,4,2.378226,0.03137254901960784,0.00784313725490196,42,True,
abd-normal023599,5,2.342441,0.03137254901960784,0.00784313725490196,42,True,
abd-normal023599,6,2.349491,0.03137254901960784,0.00784313725490196,42,True,
abd-normal023599,7,2.556701,0.03137254901960784,0.00784313725490196,42,True,
abd-normal023599,8,2.385706,0.03137254901960784,0.00784313725490196,42,True,
abd-normal023599,9,2.437818,0.03137254901960784,0.00784313725490196,42,True,
abd-normal023599,10,2.400262,0.03137254901960784,0.00784313725490196,42,True,
abd-normal023599,11,2.555387,0.03137254901960784,0.00784313725490196,42,True,
abd-normal023599,12,2.677322,0.03137254901960784,0.00784313725490196,42,True,
abd-normal023599,13,2.644471,0.03137254901960784,0.00784313725490196,42,True,
abd-normal023599,14,2.414856,0.03137254901960784,0.00784313725490196,42,True,
abd-normal023599,15,3.048394,0.03137254901960784,0.00784313725490196,42,True,
abd-normal023599,16,2.930375,0.03137254901960784,0.00784313725490196,42,True,
abd-normal023599,17,3.099358,0.03137254901960784,0.00784313725490196,42,True,
abd-normal023599,18,3.033831,0.03137254901960784,0.00784313725490196,42,True,
abd-normal023599,19,3.215204,0.03137254901960784,0.00784313725490196,42,True,
abd-normal023599,20,3.271068,0.03137254901960784,0.00784313725490196,42,True,
abd-normal023599,21,3.272222,0.03137254901960784,0.00784313725490196,42,True,
abd-normal023599,22,3.403642,0.03137254901960784,0.00784313725490196,42,True,
abd-normal023599,23,3.330277,0.03137254901960784,0.00784313725490196,42,True,
abd-normal023599,24,3.484143,0.03137254901960784,0.00784313725490196,42,True,
abd-normal023599,25,3.442376,0.03137254901960784,0.00784313725490196,42,True,
abd-normal023599,26,3.594959,0.03137254901960784,0.00784313725490196,42,True,
abd-normal023599,27,3.661465,0.03137254901960784,0.00784313725490196,42,True,
abd-normal023599,28,3.510885,0.03137254901960784,0.00784313725490196,42,True,
abd-normal023599,29,3.521317,0.03137254901960784,0.00784313725490196,42,True,
abd-normal023599,30,3.424626,0.03137254901960784,0.00784313725490196,42,True,
foot089224,1,2.047425,0.03137254901960784,0.00784313725490196,42,True,
foot089224,2,2.135671,0.03137254901960784,0.00784313725490196,42,True,
foot089224,3,2.386006,0.03137254901960784,0.00784313725490196,42,True,
foot089224,4,2.113019,0.03137254901960784,0.00784313725490196,42,True,
foot089224,5,2.348405,0.03137254901960784,0.00784313725490196,42,True,
foot089224,6,2.189238,0.03137254901960784,0.00784313725490196,42,True,
foot089224,7,2.392192,0.03137254901960784,0.00784313725490196,42,True,
foot089224,8,2.730443,0.03137254901960784,0.00784313725490196,42,True,
foot089224,9,2.593239,0.03137254901960784,0.00784313725490196,42,True,
foot089224,10,2.673554,0.03137254901960784,0.00784313725490196,42,True,
foot089224,11,2.665461,0.03137254901960784,0.00784313725490196,42,True,
foot089224,12,3.062779,0.03137254901960784,0.00784313725490196,42,True,
foot089224,13,3.019371,0.03137254901960784,0.00784313725490196,42,True,
foot089224,14,2.737836,0.03137254901960784,0.00784313725490196,42,True,
foot089224,15,2.419974,0.03137254901960784,0.00784313725490196,42,True,
foot089224,16,1.988084,0.03137254901960784,0.00784313725490196,42,True,
foot089224,17,2.081865,0.03137254901960784,0.00784313725490196,42,True,
foot089224,18,2.246314,0.03137254901960784,0.00784313725490196,42,True,
foot089224,19,2.919517,0.03137254901960784,0.00784313725490196,42,True,
foot089224,20,2.724064,0.03137254901960784,0.00784313725490196,42,True,
